epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,61242.1,2.10285,2.565,2.14721,0.27738,0.24101,0.1421,0.05527,2.22116,3.25746,2.24335,0.00181698,0.00181698,0.00181698
61,61547.3,2.11383,2.58603,2.13869,0.19312,0.21583,0.12299,0.05058,2.16765,3.46102,2.16665,0.00181093,0.00181093,0.00181093
62,61936.8,2.11589,2.59996,2.14739,0.26656,0.22302,0.15846,0.05965,2.22277,3.24198,2.29565,0.00180479,0.00180479,0.00180479
63,62218.7,2.07814,2.56699,2.13737,0.30029,0.2518,0.16756,0.06711,2.15489,2.99174,2.17573,0.00179856,0.00179856,0.00179856
64,62555.6,2.08305,2.55129,2.12141,0.27912,0.24101,0.15847,0.06706,2.18535,2.91709,2.16941,0.00179225,0.00179225,0.00179225
65,62852.6,2.10285,2.54442,2.11315,0.29998,0.28417,0.21407,0.08315,2.10516,2.69831,2.1342,0.00178586,0.00178586,0.00178586
66,63092.7,2.07772,2.53835,2.11429,0.33664,0.2518,0.20971,0.08004,2.14206,2.7719,2.19139,0.00177937,0.00177937,0.00177937
67,63346.8,2.09587,2.53291,2.11127,0.26049,0.26259,0.17126,0.06968,2.22442,3.09719,2.21024,0.00177281,0.00177281,0.00177281
68,63624.1,2.08516,2.53359,2.09082,0.23574,0.24854,0.14274,0.05622,2.12529,3.08176,2.13971,0.00176616,0.00176616,0.00176616
69,64989.3,2.09953,2.53661,2.11303,0.30461,0.2482,0.17838,0.07161,2.12278,2.95186,2.13751,0.00175943,0.00175943,0.00175943
70,65879,2.07903,2.53234,2.09665,0.33407,0.22302,0.17878,0.06554,2.15503,2.88564,2.21379,0.00175261,0.00175261,0.00175261
71,66457.8,2.06764,2.50055,2.10495,0.26996,0.30216,0.19657,0.07642,2.19497,2.94004,2.19932,0.00174571,0.00174571,0.00174571
72,66762.2,2.08723,2.50076,2.10707,0.24013,0.27338,0.1749,0.06803,2.14872,2.96227,2.1485,0.00173874,0.00173874,0.00173874
73,67134.9,2.07378,2.4813,2.09363,0.31196,0.2518,0.19104,0.07881,2.11497,2.79123,2.1417,0.00173168,0.00173168,0.00173168
74,67448.1,2.07968,2.50667,2.10878,0.28107,0.29137,0.18571,0.07352,2.1192,3.14767,2.14457,0.00172454,0.00172454,0.00172454
75,67930.3,2.05615,2.49743,2.10566,0.37161,0.25899,0.21735,0.09006,2.11706,2.80869,2.19307,0.00171733,0.00171733,0.00171733
76,68375.2,2.06335,2.5056,2.08773,0.28603,0.29137,0.21264,0.07543,2.16447,2.87886,2.18608,0.00171004,0.00171004,0.00171004
77,68899.5,2.05632,2.48485,2.0852,0.30902,0.27338,0.20295,0.07506,2.15422,2.97475,2.11222,0.00170267,0.00170267,0.00170267
78,69236.5,2.05331,2.49475,2.08111,0.26349,0.23741,0.17955,0.07207,2.1734,2.92223,2.16681,0.00169522,0.00169522,0.00169522
79,69522.4,2.06707,2.49074,2.08826,0.38031,0.26619,0.21377,0.08795,2.11302,2.7077,2.16721,0.0016877,0.0016877,0.0016877
80,69796.6,2.03456,2.45701,2.05962,0.2334,0.26978,0.19501,0.08004,2.13742,2.9417,2.1747,0.00168011,0.00168011,0.00168011
